Gene Symbol,SumCoverage,SumNum Proteins,SumNum Unique Peptides,SumNum Peptides,SumNum PSMs,Score A2,Coverage A2,Num Peptides A2,Num PSM A2,Score A4,Coverage A4,Num Peptides A4,Num PSM A4,Num AAs,MW kDa,calc pI
CDH13,8.7,5.0,4.0,4.0,15.0,149.56,8.7,4.0,8.0,6.51,6.87,3.0,7.0,713.0,78.2,4.98
CDH2,16.0,4.0,7.0,7.0,22.0,250.16,16.0,7.0,12.0,17.19,14.17,6.0,10.0,875.0,97.0,4.84
CDH4,1.54,2.0,1.0,1.0,4.0,38.13,1.54,1.0,2.0,2.05,1.54,1.0,2.0,842.0,92.3,4.82
CDK20,7.82,111.0,1.0,2.0,8.0,59.42,7.82,2.0,5.0,0.0,3.29,1.0,3.0,243.0,27.1,9.44
CDK5,13.01,108.0,3.0,4.0,12.0,72.53,9.25,3.0,6.0,0.0,13.01,4.0,6.0,292.0,33.3,7.66
CEACAM18,4.75,2.0,1.0,1.0,1.0,,,,,0.0,4.75,1.0,1.0,316.0,35.5,5.36
CELF2,10.45,20.0,4.0,4.0,9.0,72.9,8.4,3.0,4.0,2.21,10.45,4.0,5.0,488.0,52.0,8.6
CELSR2,0.38,1.0,1.0,1.0,1.0,,,,,0.0,0.38,1.0,1.0,2923.0,317.3,5.31
CELSR3,0.48,2.0,1.0,1.0,2.0,57.22,0.48,1.0,1.0,2.13,0.48,1.0,1.0,3312.0,358.0,6.68
CENPV,40.81,3.0,6.0,6.0,26.0,292.0,40.81,6.0,13.0,27.19,40.81,6.0,13.0,272.0,29.7,9.73
CEP170,27.65,19.0,2.0,34.0,112.0,538.12,24.75,30.0,52.0,58.71,27.65,34.0,60.0,1584.0,175.2,7.11
CEP170,26.77,14.0,1.0,33.0,109.0,479.55,23.81,29.0,51.0,54.04,26.77,33.0,58.0,1558.0,172.0,7.36
CFL1,37.58,9.0,6.0,6.0,25.0,219.3,37.58,6.0,13.0,19.86,37.58,6.0,12.0,149.0,16.8,8.35
CHAMP1,1.11,1.0,1.0,1.0,2.0,29.9,1.11,1.0,1.0,0.0,1.11,1.0,1.0,812.0,89.0,8.44
CHCHD2P9,18.54,2.0,1.0,1.0,1.0,,,,,2.13,18.54,1.0,1.0,151.0,15.5,9.89
CHCHD3,15.86,5.0,3.0,3.0,6.0,125.9,15.86,3.0,4.0,2.19,10.13,2.0,2.0,227.0,26.1,8.28
CHCHD6,18.07,4.0,2.0,2.0,4.0,21.46,18.07,2.0,2.0,2.21,18.07,2.0,2.0,166.0,18.9,8.66
CHL1,13.08,6.0,10.0,10.0,23.0,123.59,13.08,10.0,12.0,12.68,11.51,9.0,11.0,1208.0,135.0,5.76
CHMP2B,5.81,3.0,1.0,1.0,1.0,,,,,0.0,5.81,1.0,1.0,172.0,19.1,6.24
CHMP4B,13.39,1.0,2.0,2.0,4.0,112.15,13.39,2.0,2.0,5.21,13.39,2.0,2.0,224.0,24.9,4.82
CHMP5,23.39,2.0,2.0,2.0,3.0,49.33,23.39,2.0,2.0,2.3,14.04,1.0,1.0,171.0,19.5,6.84
CHMP6,12.44,4.0,2.0,2.0,3.0,47.82,12.44,2.0,2.0,2.16,6.47,1.0,1.0,201.0,23.5,5.31
CHORDC1,24.17,1.0,1.0,1.0,1.0,,,,,0.0,24.17,1.0,1.0,120.0,13.7,8.38
CHSY3,1.93,1.0,1.0,1.0,1.0,,,,,0.0,1.93,1.0,1.0,882.0,100.2,8.75
CIP29,26.67,4.0,3.0,3.0,8.0,93.68,26.67,3.0,4.0,2.02,26.67,3.0,4.0,150.0,16.8,9.7
CIRBP,20.35,11.0,2.0,2.0,5.0,44.5,20.35,2.0,3.0,0.0,10.47,1.0,2.0,172.0,18.6,9.51
CKAP4,5.48,1.0,2.0,2.0,8.0,50.54,5.48,2.0,4.0,0.0,5.48,2.0,4.0,602.0,66.0,5.92
CKAP5,17.7,7.0,27.0,27.0,84.0,561.81,17.7,27.0,43.0,36.34,17.04,25.0,41.0,1972.0,218.4,8.06
CKB,46.46,4.0,11.0,11.0,43.0,561.76,46.46,11.0,21.0,39.13,46.46,11.0,22.0,381.0,42.6,5.59
CKMT1A,14.15,7.0,3.0,4.0,12.0,115.34,14.15,4.0,6.0,4.48,14.15,4.0,6.0,417.0,47.0,8.34
CLASP1,13.12,11.0,13.0,17.0,48.0,409.69,10.88,14.0,23.0,39.33,11.76,15.0,25.0,1471.0,162.0,8.81
CLASP2,20.35,17.0,16.0,20.0,71.0,789.14,18.7,18.0,36.0,57.86,18.54,18.0,35.0,1273.0,138.8,8.34
CLINT1,4.32,3.0,2.0,2.0,6.0,63.67,4.32,2.0,3.0,2.37,4.32,2.0,3.0,625.0,68.2,6.42
CLIP1,0.99,4.0,1.0,1.0,1.0,,,,,0.0,0.99,1.0,1.0,1013.0,116.2,5.15
CLIP2,30.98,3.0,22.0,22.0,59.0,423.7,29.83,21.0,31.0,21.89,25.43,18.0,28.0,1046.0,115.8,6.73
CLTA,28.9,12.0,6.0,6.0,32.0,255.42,28.9,6.0,14.0,20.76,28.9,6.0,18.0,218.0,23.6,4.53
CLTB,17.54,3.0,4.0,4.0,13.0,161.71,17.54,4.0,7.0,13.94,16.11,3.0,6.0,211.0,23.2,4.69
CLTC,46.74,11.0,78.0,78.0,735.0,8518.74,46.74,77.0,370.0,788.61,45.52,77.0,365.0,1639.0,187.8,5.69
CLU,20.44,7.0,3.0,3.0,10.0,106.74,12.04,2.0,4.0,5.33,20.44,3.0,6.0,274.0,32.3,6.65
CMAS,12.37,3.0,1.0,1.0,2.0,26.33,12.37,1.0,1.0,1.64,12.37,1.0,1.0,97.0,11.6,5.86
CNDP2,20.45,10.0,1.0,1.0,1.0,,,,,0.0,20.45,1.0,1.0,88.0,9.4,4.81
CNKSR2,7.89,8.0,4.0,4.0,6.0,48.71,5.65,3.0,3.0,2.12,6.83,3.0,3.0,849.0,96.3,6.61
CNOT1,1.68,4.0,2.0,2.0,3.0,38.7,1.68,2.0,2.0,0.0,0.64,1.0,1.0,1551.0,173.7,7.34
CNP,18.2,8.0,5.0,6.0,9.0,49.77,14.96,4.0,4.0,0.0,17.71,5.0,5.0,401.0,45.1,8.53
CNTFR,16.4,2.0,5.0,5.0,22.0,138.23,16.4,5.0,11.0,13.15,16.4,5.0,11.0,372.0,40.6,6.76
CNTN1,47.64,8.0,42.0,42.0,261.0,2005.41,46.37,40.0,133.0,207.31,47.54,40.0,128.0,1018.0,113.2,5.9
CNTN2,13.65,1.0,10.0,10.0,24.0,255.02,12.6,9.0,12.0,15.4,11.92,9.0,12.0,1040.0,113.3,7.96
CNTN3,2.63,1.0,2.0,2.0,4.0,43.87,2.63,2.0,2.0,2.25,2.63,2.0,2.0,1028.0,112.8,6.3
CNTN4,11.7,9.0,8.0,8.0,23.0,157.15,11.7,8.0,12.0,13.87,11.7,8.0,11.0,1026.0,113.4,7.47
CNTNAP3,3.77,13.0,1.0,1.0,2.0,36.15,3.77,1.0,1.0,0.0,3.77,1.0,1.0,292.0,33.2,9.04
COL4A2,0.76,1.0,1.0,1.0,2.0,28.15,0.76,1.0,1.0,0.0,0.76,1.0,1.0,1712.0,167.4,8.66
COPA,4.98,2.0,5.0,5.0,9.0,76.89,4.98,5.0,5.0,7.2,4.41,4.0,4.0,1224.0,138.3,7.66
COPB1,3.57,4.0,3.0,3.0,5.0,31.24,2.1,2.0,2.0,1.78,3.57,3.0,3.0,953.0,107.1,6.05
COPB2,4.56,2.0,2.0,2.0,4.0,48.86,4.56,2.0,2.0,3.32,4.56,2.0,2.0,877.0,99.0,5.16
COPG2,3.56,2.0,2.0,2.0,6.0,56.47,3.56,2.0,3.0,3.18,3.56,2.0,3.0,871.0,97.6,5.81
COPS3,17.24,6.0,1.0,1.0,4.0,56.73,17.24,1.0,2.0,2.64,17.24,1.0,2.0,116.0,12.8,5.69
COPS4,4.36,4.0,1.0,1.0,2.0,33.29,4.36,1.0,1.0,1.75,4.36,1.0,1.0,275.0,31.4,6.54
COPS6,8.9,3.0,2.0,2.0,5.0,50.59,3.99,1.0,2.0,2.15,8.9,2.0,3.0,326.0,36.0,5.73
COPS8,9.38,4.0,1.0,1.0,2.0,41.56,9.38,1.0,1.0,0.0,9.38,1.0,1.0,160.0,17.9,7.25
CORO1A,10.81,7.0,1.0,1.0,2.0,70.92,10.81,1.0,1.0,2.42,10.81,1.0,1.0,148.0,16.0,6.99
CORO1B,5.32,4.0,2.0,2.0,6.0,45.03,5.32,2.0,3.0,2.03,5.32,2.0,3.0,489.0,54.2,5.88
CORO1C,34.81,19.0,17.0,17.0,81.0,728.22,34.81,17.0,41.0,68.47,33.12,16.0,40.0,474.0,53.2,7.08
CORO2B,33.68,2.0,14.0,14.0,55.0,290.6,33.68,13.0,28.0,28.94,30.74,11.0,27.0,475.0,54.4,8.15
COX4I1,13.25,5.0,1.0,1.0,2.0,23.7,13.25,1.0,1.0,0.0,13.25,1.0,1.0,83.0,9.3,8.48
CR2,1.54,6.0,1.0,1.0,1.0,,,,,0.0,1.54,1.0,1.0,971.0,106.3,7.53
CRIP2,34.9,4.0,3.0,3.0,8.0,127.21,34.9,3.0,4.0,4.54,34.9,3.0,4.0,192.0,20.7,8.94
CRMP1,68.88,3.0,25.0,30.0,273.0,4035.61,68.88,30.0,136.0,315.35,63.46,29.0,137.0,572.0,62.1,7.03
CROCC,2.21,3.0,2.0,3.0,6.0,49.42,2.21,3.0,3.0,1.65,2.21,3.0,3.0,1313.0,148.2,5.54
CRTAC1,8.28,4.0,3.0,3.0,7.0,78.98,8.28,3.0,4.0,5.46,4.78,2.0,3.0,628.0,68.0,5.29
CRYM,7.96,6.0,2.0,2.0,6.0,111.88,7.96,2.0,3.0,7.55,7.96,2.0,3.0,314.0,33.8,5.14
CS,6.4,14.0,3.0,3.0,10.0,129.84,6.4,3.0,5.0,11.06,6.4,3.0,5.0,453.0,50.4,7.9
CSE1L,5.9,4.0,3.0,4.0,7.0,76.4,5.9,4.0,5.0,4.51,3.5,2.0,2.0,915.0,103.8,6.11
CSNK1E,6.01,9.0,2.0,2.0,5.0,42.25,3.37,1.0,2.0,1.67,6.01,2.0,3.0,416.0,47.3,9.66
CSNK1G2,3.01,9.0,1.0,1.0,1.0,,,,,0.0,3.01,1.0,1.0,299.0,33.7,9.44
CSNK2A1,20.0,4.0,5.0,6.0,17.0,159.47,15.06,5.0,8.0,12.98,20.0,6.0,9.0,385.0,45.3,7.94
CSNK2A2,12.59,3.0,1.0,2.0,5.0,51.5,12.59,2.0,3.0,0.0,4.44,1.0,2.0,135.0,15.6,9.6
CSNK2B,5.12,3.0,1.0,1.0,4.0,75.06,5.12,1.0,2.0,4.11,5.12,1.0,2.0,215.0,24.9,5.55
CSTF2,2.51,5.0,1.0,1.0,1.0,24.02,2.51,1.0,1.0,,,,,438.0,46.6,8.03
CSTF3,3.21,1.0,1.0,1.0,1.0,,,,,0.0,3.21,1.0,1.0,717.0,82.9,8.12
CTBP1,5.26,6.0,1.0,1.0,2.0,0.0,5.26,1.0,1.0,0.0,5.26,1.0,1.0,171.0,18.6,6.38
CTBP2,4.27,3.0,1.0,1.0,2.0,35.96,4.27,1.0,1.0,2.37,4.27,1.0,1.0,445.0,48.9,6.95
CTNNA1,18.79,15.0,7.0,12.0,38.0,347.49,18.79,12.0,20.0,25.78,16.41,10.0,18.0,841.0,92.7,5.52
CTNNA2,41.55,9.0,22.0,27.0,104.0,880.96,41.55,27.0,55.0,71.88,40.88,26.0,49.0,905.0,100.4,5.96
CTNNB1,39.79,7.0,15.0,20.0,76.0,644.53,38.89,19.0,37.0,54.15,39.79,20.0,39.0,774.0,84.7,5.92
CTNND1,25.72,36.0,15.0,15.0,47.0,399.26,22.6,13.0,22.0,48.09,25.72,15.0,25.0,832.0,92.6,7.15
CTNND2,19.71,11.0,15.0,18.0,71.0,418.63,18.94,17.0,36.0,37.84,19.71,18.0,35.0,1167.0,126.5,8.03
CTTN,39.22,6.0,1.0,1.0,1.0,,,,,0.0,39.22,1.0,1.0,51.0,5.8,5.31
CTTNBP2,1.8,7.0,3.0,3.0,9.0,60.82,1.8,3.0,5.0,2.06,1.8,3.0,4.0,1663.0,180.9,7.93
CXADR,8.33,4.0,2.0,2.0,5.0,56.41,4.01,1.0,2.0,2.17,8.33,2.0,3.0,324.0,35.5,7.3
CYB5R3,12.95,4.0,2.0,2.0,3.0,62.8,12.95,2.0,2.0,2.27,6.12,1.0,1.0,278.0,31.6,7.58
CYC1,21.23,1.0,4.0,4.0,11.0,48.09,9.85,2.0,4.0,3.52,21.23,4.0,7.0,325.0,35.4,9.0
CYFIP1,6.46,9.0,1.0,7.0,25.0,223.75,6.46,7.0,12.0,23.05,6.46,7.0,13.0,1253.0,145.1,6.9
CYFIP2,12.96,14.0,7.0,13.0,46.0,371.72,12.96,13.0,23.0,26.42,12.96,13.0,23.0,1227.0,142.5,7.17
CYTH2,9.77,12.0,3.0,3.0,8.0,56.82,9.77,3.0,4.0,4.25,9.77,3.0,4.0,399.0,46.5,5.54
CYTL1,30.43,2.0,1.0,1.0,3.0,24.5,30.43,1.0,2.0,0.0,30.43,1.0,1.0,92.0,10.3,5.33
DAAM1,2.72,5.0,3.0,3.0,4.0,39.3,1.78,2.0,2.0,0.0,1.87,2.0,2.0,1068.0,122.2,7.23
DAPK1,4.75,5.0,1.0,1.0,2.0,33.74,4.75,1.0,1.0,2.69,4.75,1.0,1.0,337.0,36.7,8.62
DAZAP1,6.67,4.0,1.0,1.0,2.0,26.55,6.67,1.0,1.0,0.0,6.67,1.0,1.0,225.0,24.8,8.53
DBN1,47.0,7.0,2.0,26.0,176.0,1792.99,38.37,20.0,85.0,198.75,47.0,26.0,91.0,649.0,71.4,4.45
DBN1,43.88,4.0,2.0,26.0,178.0,1804.14,35.97,21.0,86.0,201.31,43.88,26.0,92.0,695.0,76.3,4.51
DCAF7,23.64,3.0,3.0,3.0,6.0,74.56,23.64,3.0,3.0,2.05,23.64,3.0,3.0,165.0,19.2,5.58
DCC,5.77,4.0,1.0,1.0,2.0,27.32,5.77,1.0,1.0,1.6,5.77,1.0,1.0,208.0,23.5,8.75
DCD,12.73,2.0,1.0,1.0,4.0,24.65,12.73,1.0,2.0,0.0,12.73,1.0,2.0,110.0,11.3,6.54
DCLK1,37.16,5.0,18.0,21.0,81.0,573.05,36.08,19.0,40.0,64.25,34.19,19.0,41.0,740.0,82.2,8.66
DCLK2,4.32,4.0,1.0,2.0,7.0,91.09,4.32,2.0,4.0,2.01,4.32,2.0,3.0,695.0,76.1,8.54
DCP1A,6.19,1.0,2.0,2.0,4.0,39.82,3.61,1.0,1.0,1.61,6.19,2.0,3.0,582.0,63.3,6.25
DCTN1,25.33,21.0,26.0,27.0,88.0,649.64,25.33,27.0,44.0,58.67,25.33,26.0,44.0,1271.0,140.8,5.67
DCTN2,45.89,12.0,16.0,16.0,67.0,576.12,43.64,15.0,34.0,52.24,45.64,15.0,33.0,401.0,44.2,5.21
DCTN4,13.04,7.0,5.0,5.0,8.0,76.46,11.09,4.0,4.0,6.54,10.87,4.0,4.0,460.0,52.3,7.34
DCUN1D3,4.28,1.0,1.0,1.0,3.0,50.94,4.28,1.0,2.0,1.68,4.28,1.0,1.0,304.0,34.3,5.12
DCX,55.28,7.0,13.0,17.0,85.0,1068.29,53.61,16.0,43.0,70.93,55.28,17.0,42.0,360.0,40.0,9.39
DDAH1,4.21,1.0,1.0,1.0,1.0,,,,,0.0,4.21,1.0,1.0,285.0,31.1,5.81
DDAH2,31.11,5.0,3.0,3.0,11.0,253.54,19.56,2.0,5.0,14.36,31.11,3.0,6.0,225.0,23.5,5.85
DDB1,4.95,9.0,4.0,4.0,10.0,38.16,3.94,3.0,4.0,2.65,4.95,4.0,6.0,1092.0,121.6,5.5
DDOST,4.77,2.0,2.0,2.0,8.0,73.51,4.77,2.0,4.0,5.73,4.77,2.0,4.0,419.0,46.5,7.3
DDX1,7.97,1.0,4.0,4.0,5.0,48.23,2.16,1.0,1.0,3.12,7.97,4.0,4.0,740.0,82.4,7.23
DDX10,1.56,2.0,1.0,1.0,1.0,,,,,2.09,1.56,1.0,1.0,835.0,96.4,8.76
DDX17,24.01,7.0,10.0,14.0,41.0,365.4,24.01,14.0,20.0,26.2,24.01,14.0,21.0,729.0,80.2,8.27
DDX19B,2.23,9.0,1.0,1.0,2.0,0.0,2.23,1.0,1.0,0.0,2.23,1.0,1.0,448.0,50.5,6.14
DDX39B,34.81,30.0,12.0,12.0,42.0,217.77,28.5,10.0,20.0,11.59,34.81,12.0,22.0,428.0,49.0,5.67
DDX3X,11.3,5.0,6.0,6.0,15.0,85.51,11.3,6.0,7.0,9.18,11.3,6.0,8.0,646.0,71.3,6.62
DDX5,21.12,8.0,6.0,10.0,29.0,319.06,21.12,10.0,15.0,22.76,21.12,10.0,14.0,535.0,60.5,9.07
DDX6,25.47,18.0,9.0,9.0,36.0,216.38,25.47,9.0,17.0,33.92,25.47,9.0,19.0,483.0,54.4,8.66
DES,12.34,1.0,2.0,8.0,96.0,651.86,10.21,7.0,47.0,115.45,9.36,7.0,49.0,470.0,53.5,5.27
DFNA5,11.88,3.0,1.0,1.0,1.0,,,,,0.0,11.88,1.0,1.0,101.0,10.9,6.51
DHX15,3.9,1.0,3.0,3.0,5.0,68.52,2.39,2.0,2.0,3.96,3.9,3.0,3.0,795.0,90.9,7.46
DHX30,6.41,4.0,5.0,5.0,7.0,43.29,3.03,2.0,2.0,5.69,6.41,5.0,5.0,1155.0,129.4,8.53
DHX9,16.69,2.0,15.0,15.0,44.0,404.89,15.75,14.0,22.0,30.19,15.04,14.0,22.0,1270.0,140.9,6.84
DIAPH1,1.62,10.0,1.0,1.0,1.0,,,,,2.37,1.62,1.0,1.0,863.0,94.5,5.38
DIP2C,4.31,2.0,1.0,1.0,2.0,23.41,4.31,1.0,1.0,0.0,4.31,1.0,1.0,371.0,40.6,6.71
DKC1,43.42,5.0,2.0,2.0,4.0,28.54,43.42,2.0,2.0,2.1,43.42,2.0,2.0,76.0,8.7,9.73
DKFZp686D09174,22.22,3.0,1.0,1.0,1.0,,,,,0.0,22.22,1.0,1.0,99.0,11.3,9.66
DKFZp779C2259,6.59,5.0,1.0,1.0,1.0,0.0,6.59,1.0,1.0,,,,,182.0,20.9,5.26
DKFZp781B11202,13.47,5.0,4.0,4.0,8.0,42.47,13.47,4.0,4.0,2.06,13.47,4.0,4.0,401.0,45.7,5.71
DKK3.00,7.14,3.0,1.0,1.0,1.0,,,,,0.0,7.14,1.0,1.0,322.0,35.3,4.64
DLAT,19.14,4.0,6.0,6.0,19.0,187.02,19.14,6.0,9.0,12.85,19.14,6.0,10.0,418.0,44.6,6.44
DLD,23.38,6.0,9.0,9.0,33.0,316.0,23.38,9.0,16.0,32.98,23.38,9.0,17.0,509.0,54.1,7.85
DLG2,9.7,12.0,1.0,1.0,1.0,,,,,0.0,9.7,1.0,1.0,165.0,19.4,8.38
DLG3,12.85,4.0,9.0,9.0,15.0,54.99,10.4,7.0,7.0,4.65,12.73,8.0,8.0,817.0,90.3,7.03
DLG5,0.83,2.0,1.0,1.0,1.0,,,,,0.0,0.83,1.0,1.0,1809.0,201.9,7.71
DLGAP1,4.31,9.0,2.0,2.0,3.0,29.31,4.31,2.0,2.0,0.0,1.91,1.0,1.0,627.0,69.9,5.57
DLGAP4,7.79,4.0,1.0,1.0,2.0,34.97,7.79,1.0,1.0,0.0,7.79,1.0,1.0,244.0,26.9,4.88
DLST,22.74,6.0,10.0,10.0,37.0,517.52,19.65,8.0,18.0,34.94,20.09,9.0,19.0,453.0,48.7,8.95
DMXL2,0.56,2.0,1.0,1.0,2.0,25.49,0.56,1.0,1.0,0.0,0.56,1.0,1.0,3036.0,339.4,6.38
DNAH8,0.38,3.0,1.0,1.0,1.0,,,,,0.0,0.38,1.0,1.0,4188.0,478.6,6.11
DNAJA1,24.43,15.0,7.0,8.0,32.0,220.33,24.43,8.0,17.0,18.17,24.43,8.0,15.0,397.0,44.8,7.08
DNAJA2,5.34,2.0,2.0,2.0,4.0,61.3,5.34,2.0,2.0,1.85,5.34,2.0,2.0,412.0,45.7,6.48
DNAJB1,8.74,3.0,1.0,1.0,2.0,57.82,8.74,1.0,1.0,2.54,8.74,1.0,1.0,183.0,20.5,8.56
DNAJB3,16.55,1.0,1.0,2.0,3.0,36.63,16.55,2.0,2.0,1.96,8.97,1.0,1.0,145.0,16.5,4.94
DNAJB6,36.36,11.0,1.0,2.0,4.0,58.09,36.36,2.0,3.0,1.96,19.7,1.0,1.0,66.0,7.9,7.4
DNAJC11,5.76,8.0,2.0,2.0,6.0,44.41,5.76,2.0,3.0,0.0,5.76,2.0,3.0,469.0,52.6,9.33
DNAJC13,0.71,1.0,1.0,1.0,1.0,,,,,0.0,0.71,1.0,1.0,2243.0,254.3,6.74
DNAJC6,16.06,4.0,6.0,6.0,14.0,112.74,16.06,6.0,7.0,10.18,16.06,6.0,7.0,442.0,50.3,7.64
DNAJC9,6.92,1.0,1.0,1.0,2.0,24.51,6.92,1.0,1.0,0.0,6.92,1.0,1.0,260.0,29.9,5.73
DNM1,14.22,5.0,5.0,9.0,22.0,219.79,14.22,9.0,12.0,9.23,13.04,8.0,10.0,851.0,96.0,7.01
DNM1L,17.89,17.0,9.0,9.0,18.0,120.5,17.89,9.0,10.0,7.68,16.06,8.0,8.0,710.0,79.4,6.93
DNM3,10.71,8.0,4.0,8.0,22.0,147.26,10.71,8.0,12.0,4.9,8.96,7.0,10.0,859.0,96.6,8.22
DOCK4,10.75,7.0,2.0,2.0,3.0,14.41,10.75,2.0,2.0,2.09,6.09,1.0,1.0,279.0,29.8,9.64
DOCK7,5.62,8.0,9.0,9.0,24.0,140.59,4.96,8.0,12.0,6.57,5.62,9.0,12.0,2098.0,238.1,6.83
DPYS,4.43,1.0,1.0,2.0,18.0,183.6,4.43,2.0,9.0,8.34,4.43,2.0,9.0,519.0,56.6,7.27
DPYSL2,58.74,3.0,23.0,28.0,425.0,5753.63,58.74,28.0,204.0,496.91,58.74,28.0,221.0,572.0,62.3,6.38
DPYSL3,61.84,6.0,27.0,33.0,378.0,5862.42,61.84,32.0,182.0,451.01,61.84,33.0,196.0,684.0,73.9,6.35
DPYSL4,32.52,2.0,12.0,12.0,40.0,273.36,23.78,9.0,18.0,21.2,32.52,12.0,22.0,572.0,61.8,7.09
DPYSL5,51.42,4.0,22.0,22.0,138.0,1030.5,51.42,21.0,69.0,118.91,51.42,22.0,69.0,564.0,61.4,7.2
DSC1,1.79,2.0,1.0,1.0,4.0,33.91,1.79,1.0,2.0,2.2,1.79,1.0,2.0,840.0,93.8,5.53
DSG1,8.2,1.0,5.0,5.0,9.0,107.65,8.2,5.0,5.0,2.2,6.67,4.0,4.0,1049.0,113.7,5.03
DSP,1.01,2.0,2.0,2.0,4.0,34.32,1.01,2.0,2.0,1.98,1.01,2.0,2.0,2272.0,260.0,6.96
DST,2.03,18.0,3.0,6.0,15.0,118.17,2.03,6.0,8.0,4.53,2.03,6.0,7.0,5375.0,615.3,5.74
DSTN,19.59,3.0,2.0,2.0,3.0,30.49,19.59,2.0,2.0,2.46,7.43,1.0,1.0,148.0,16.6,8.34
DUSP19,7.23,2.0,1.0,1.0,1.0,,,,,0.0,7.23,1.0,1.0,166.0,18.3,8.07
DYNC1H1,39.91,4.0,157.0,157.0,711.0,5744.44,39.07,152.0,354.0,535.82,38.61,153.0,357.0,4646.0,532.1,6.4
DYNC1I1,7.4,7.0,4.0,4.0,11.0,90.48,5.92,3.0,5.0,7.37,7.4,4.0,6.0,608.0,68.5,5.2
DYNC1I2,11.62,19.0,5.0,5.0,22.0,263.01,11.62,5.0,11.0,20.15,11.62,5.0,11.0,611.0,68.3,5.29
DYNC1LI1,25.05,2.0,10.0,10.0,26.0,164.74,21.41,9.0,12.0,18.83,25.05,10.0,14.0,523.0,56.5,6.42
DYNC1LI2,19.28,6.0,5.0,5.0,17.0,163.48,12.77,4.0,8.0,15.27,19.28,5.0,9.0,415.0,45.0,6.14
DYRK1A,5.86,10.0,2.0,2.0,6.0,35.5,5.86,2.0,3.0,1.8,5.86,2.0,3.0,529.0,60.3,9.13
EDC3,3.94,2.0,1.0,1.0,2.0,0.0,3.94,1.0,1.0,0.0,3.94,1.0,1.0,508.0,56.0,7.11
EDC4,18.13,5.0,15.0,15.0,41.0,284.96,18.13,15.0,21.0,16.64,16.99,14.0,20.0,1401.0,151.6,5.86
EED,20.75,4.0,1.0,1.0,1.0,,,,,0.0,20.75,1.0,1.0,106.0,12.4,6.3
EEF1A1,49.13,4.0,12.0,19.0,154.0,1576.26,49.13,17.0,76.0,175.98,49.13,19.0,78.0,462.0,50.1,9.01
EEF1A2,20.73,1.0,1.0,8.0,43.0,389.47,19.01,7.0,21.0,39.87,20.73,8.0,22.0,463.0,50.4,9.03
EEF1B2,10.22,1.0,2.0,2.0,5.0,72.9,10.22,2.0,3.0,4.66,5.78,1.0,2.0,225.0,24.7,4.67
EEF1D,12.83,22.0,5.0,5.0,18.0,336.38,12.83,5.0,9.0,17.33,12.83,5.0,9.0,647.0,71.4,6.42
EEF1G,32.27,2.0,12.0,12.0,74.0,658.68,32.27,12.0,35.0,72.48,32.27,12.0,39.0,437.0,50.1,6.67
EEF2,9.79,1.0,6.0,6.0,14.0,123.87,8.86,5.0,7.0,6.86,7.46,5.0,7.0,858.0,95.3,6.83
EFHD1,13.58,6.0,1.0,1.0,2.0,22.33,13.58,1.0,1.0,0.0,13.58,1.0,1.0,81.0,9.0,5.0
EFNB1,6.94,1.0,2.0,2.0,4.0,39.96,6.94,2.0,2.0,2.23,6.94,2.0,2.0,346.0,38.0,8.94
EFNB2,6.91,1.0,1.0,1.0,3.0,27.67,6.91,1.0,2.0,0.0,6.91,1.0,1.0,333.0,36.9,8.85
EFR3B,2.15,5.0,1.0,1.0,2.0,0.0,2.15,1.0,1.0,0.0,2.15,1.0,1.0,652.0,73.9,6.84
EFTUD2,8.11,5.0,6.0,6.0,15.0,115.61,6.72,5.0,7.0,3.84,8.11,6.0,8.0,937.0,105.3,5.22
EHD1,5.99,7.0,2.0,2.0,2.0,,,,,0.0,5.99,2.0,2.0,534.0,60.6,6.83
EIF2B4,2.11,4.0,1.0,1.0,2.0,20.04,2.11,1.0,1.0,1.81,2.11,1.0,1.0,522.0,57.4,9.38
EIF2S1,3.81,1.0,1.0,1.0,4.0,64.95,3.81,1.0,2.0,2.44,3.81,1.0,2.0,315.0,36.1,5.08
EIF2S3,9.75,3.0,3.0,3.0,8.0,93.01,9.75,3.0,4.0,5.87,9.75,3.0,4.0,472.0,51.1,8.4
EIF3A,3.41,2.0,3.0,3.0,5.0,36.94,3.41,3.0,3.0,0.0,1.71,2.0,2.0,1348.0,162.5,6.77
EIF3C,2.88,3.0,2.0,2.0,4.0,30.73,2.88,2.0,2.0,0.0,2.88,2.0,2.0,903.0,104.0,5.63
EIF3E,14.67,3.0,1.0,1.0,4.0,61.48,14.67,1.0,2.0,1.62,14.67,1.0,2.0,75.0,8.9,5.9
EIF3F,17.0,4.0,1.0,1.0,2.0,80.57,17.0,1.0,1.0,2.79,17.0,1.0,1.0,100.0,10.8,5.81
EIF3I,2.77,1.0,1.0,1.0,2.0,0.0,2.77,1.0,1.0,1.65,2.77,1.0,1.0,325.0,36.5,5.64
EIF3L,35.0,1.0,1.0,1.0,1.0,,,,,0.0,35.0,1.0,1.0,40.0,4.5,4.44
EIF4A1,18.72,22.0,2.0,6.0,24.0,332.7,17.0,5.0,12.0,18.41,18.72,6.0,12.0,406.0,46.1,5.48
EIF4A2,14.99,11.0,1.0,5.0,17.0,173.47,13.27,4.0,8.0,13.24,14.99,5.0,9.0,407.0,46.4,5.48
