Index,Gene,Known Functions,Signaling,Transport,Organization,Metabolism,Development
50,GOT1,"['response to glucocorticoid', 'response to carbohydrate', 'nucleoplasm', 'aspartate biosynthetic process', 'cellular response to insulin stimulus', 'cellular response to mechanical stimulus', 'carboxylic acid binding', 'Notch signaling pathway', 'lysosome', 'negative regulation of cytosolic calcium ion concentration', 'pyridoxal phosphate binding', 'transdifferentiation', 'glutamate catabolic process to 2-oxoglutarate', 'cytosol', 'aspartate catabolic process', 'L-cysteine:2-oxoglutarate aminotransferase activity', 'glutamate catabolic process to aspartate', 'response to transition metal nanoparticle', 'positive regulation of transforming growth factor beta receptor signaling pathway', 'response to immobilization stress', 'axon terminus', 'glycerol biosynthetic process', 'fatty acid homeostasis', 'extracellular exosome', 'L-aspartate:2-oxoglutarate aminotransferase activity', 'phosphatidylserine decarboxylase activity', 'negative regulation of collagen biosynthetic process', 'response to cadmium ion', 'negative regulation of mitochondrial depolarization', 'oxaloacetate metabolic process', 'gluconeogenesis']",3,0,0,5,2
51,ACTB,"['plasma membrane', 'synaptic vesicle endocytosis', 'calyx of Held', 'ephrin receptor signaling pathway', 'blood microparticle', 'Schaffer collateral - CA1 synapse', 'structural constituent of postsynaptic actin cytoskeleton', 'cell junction assembly', 'negative regulation of protein binding', 'focal adhesion', 'positive regulation of gene expression, epigenetic', 'postsynaptic actin cytoskeleton', 'RNA polymerase II distal enhancer sequence-specific DNA binding', 'platelet aggregation', 'cytosol', 'substantia nigra development', 'glutamatergic synapse', 'NuA4 histone acetyltransferase complex', 'dense body', 'ATP-dependent chromatin remodeling', 'RNA polymerase II proximal promoter sequence-specific DNA binding', 'Tat protein binding', 'postsynaptic actin cytoskeleton organization', 'cortical cytoskeleton', 'kinesin binding', 'regulation of cyclin-dependent protein serine/threonine kinase activity', 'ATP binding', 'cell motility', 'regulation of transmembrane transporter activity', 'cytoplasmic ribonucleoprotein granule', 'positive regulation of norepinephrine uptake', 'cellular response to cytochalasin B', 'membrane organization', 'extracellular exosome', 'protein kinase binding', 'protein deubiquitination', 'Fc-gamma receptor signaling pathway involved in phagocytosis', 'nitric-oxide synthase binding', 'tau protein binding', 'retina homeostasis', 'nuclear chromatin', 'identical protein binding', 'nucleosomal DNA binding', 'regulation of protein localization to plasma membrane']",2,2,5,1,1
52,SLC32A1,"['integral component of synaptic vesicle membrane', 'dendrite terminus', 'glycine transmembrane transporter activity', 'plasma membrane', 'cone cell pedicle', 'amino acid transmembrane transport', 'hippocampus development', 'neurotransmitter secretion', 'glycine transport', 'gamma-aminobutyric acid:proton symporter activity', 'neurotransmitter loading into synaptic vesicle', 'aging', 'presynaptic active zone', 'inhibitory synapse', 'clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane', 'GABA-ergic synapse', 'cell tip', 'gamma-aminobutyric acid transport']",1,1,0,0,1
53,ADD1,"['cell morphogenesis', 'multicellular organism growth', 'positive regulation of establishment of endothelial barrier', 'positive regulation of adherens junction organization', 'plasma membrane raft', 'cadherin binding', 'homeostasis of number of cells within a tissue', 'spectrin binding', 'focal adhesion', 'structural molecule activity', 'cytosol', 'positive regulation of protein binding', 'actin filament binding', 'cell-cell adherens junction', 'in utero embryonic development', 'erythrocyte differentiation', 'transcription factor binding', 'postsynaptic density', 'protein homodimerization activity', 'cell volume homeostasis', 'cellular response to calcium ion', 'transmembrane transport', 'protein heterodimerization activity', 'F-actin capping protein complex', 'hemoglobin metabolic process', 'barbed-end actin filament capping', 'RNA binding', 'IRE1-mediated unfolded protein response', 'nuclear body', 'actin filament bundle assembly', 'calmodulin binding']",2,1,4,3,3
54,SNAP91,"['synaptic vesicle', 'extrinsic component of presynaptic endocytic zone membrane', 'clathrin coat assembly', 'phosphatidylinositol-4,5-bisphosphate binding', 'synaptic vesicle budding from presynaptic endocytic zone membrane', 'protein kinase binding', 'SNARE binding', 'clathrin-coated vesicle', 'regulation of clathrin-dependent endocytosis', '1-phosphatidylinositol binding', 'clathrin heavy chain binding', 'protein transport', 'clathrin-coated pit']",0,1,1,1,0
55,CTNND2,"['nucleus', 'dendrite', 'beta-catenin binding', 'plasma membrane', 'cell-cell adhesion', 'perikaryon', 'postsynaptic density', 'cell-cell junction assembly', 'dendritic spine morphogenesis', 'cytoplasm', 'cell-cell adherens junction', 'cadherin binding', 'regulation of canonical Wnt signaling pathway']",1,0,3,1,1
56,GRIN2A,"['serotonin metabolic process', 'endoplasmic reticulum', 'memory', 'synaptic vesicle', 'startle response', 'dopamine metabolic process', 'positive regulation of long-term synaptic potentiation', 'integral component of postsynaptic density membrane', 'directional locomotion', 'brain development', 'calcium-mediated signaling', 'zinc ion binding', 'NMDA selective glutamate receptor complex', 'calcium ion transmembrane import into cytosol', 'cell surface', 'glutamate-gated calcium ion channel activity', 'glutamatergic synapse', 'regulation of NMDA receptor activity', 'cell junction', 'presynaptic membrane', 'response to amphetamine', 'neuron projection', 'excitatory postsynaptic potential', 'protein localization to postsynaptic membrane', 'visual learning', 'positive regulation of apoptotic process', 'protein binding', 'amyloid-beta binding', 'NMDA glutamate receptor activity', 'response to wounding', 'response to ethanol', 'excitatory chemical synaptic transmission', 'sleep', 'activation of cysteine-type endopeptidase activity', 'ionotropic glutamate receptor signaling pathway', 'regulation of sensory perception of pain', 'negative regulation of protein catabolic process', 'neurogenesis']",3,1,1,4,3
57,PPFIA2,"['regulation of synaptic vesicle exocytosis', 'structural constituent of presynapse', 'glutamate secretion', 'cell-matrix adhesion', 'cytosol', 'protein binding', 'cell surface', 'presynaptic active zone', 'glutamatergic synapse', 'presynapse organization', 'extracellular exosome']",0,0,2,1,0
58,MAPK1,"['cellular response to tumor necrosis factor', 'phosphotyrosine residue binding', 'perikaryon', 'MAP kinase kinase activity', 'regulation of ossification', 'positive regulation of protein import into nucleus', 'Fc-epsilon receptor signaling pathway', 'thyroid gland development', 'activation of MAPK activity', 'postsynaptic density', 'negative regulation of cell differentiation', 'double-stranded DNA binding', 'outer ear morphogenesis', 'cardiac neural crest cell development involved in heart development', 'protein-containing complex', 'lipopolysaccharide-mediated signaling pathway', 'activation of MAPKK activity', 'long-term synaptic potentiation', 'B cell receptor signaling pathway', 'regulation of DNA-binding transcription factor activity', 'mitochondrion', 'cell cycle', 'positive regulation of telomere maintenance via telomerase', 'focal adhesion', 'platelet activation', 'cytosine metabolic process', 'regulation of cellular pH', 'response to epidermal growth factor', 'microtubule organizing center', 'mitogen-activated protein kinase kinase kinase binding', 'azurophil granule lumen', 'cellular response to granulocyte macrophage colony-stimulating factor stimulus', 'caveolin-mediated endocytosis', 'mammary gland epithelial cell proliferation', 'regulation of phosphatidylinositol 3-kinase signaling', 'regulation of Golgi inheritance', 'transcription factor binding', 'axon', 'MAP kinase activity', 'positive regulation of cell migration', 'response to nicotine', 'mitotic spindle', 'caveola', 'nucleoplasm', 'pseudopodium', 'neutrophil degranulation', 'labyrinthine layer blood vessel development', 'fibroblast growth factor receptor signaling pathway', 'thymus development', 'response to exogenous dsRNA', 'lung morphogenesis', 'sensory perception of pain', 'phosphatase binding', 'positive regulation of translation', 'positive regulation of telomerase activity', 'positive regulation of telomere capping', 'diadenosine tetraphosphate biosynthetic process', 'trachea formation', 'dendrite cytoplasm', 'ERBB signaling pathway', 'ATP binding', 'decidualization', 'learning or memory', 'positive regulation of cardiac muscle cell proliferation', 'response to estrogen', 'regulation of cytoskeleton organization', 'extracellular region', 'late endosome', 'viral process', 'aging', 'Bergmann glial cell differentiation', 'regulation of early endosome to late endosome transport', 'cellular response to reactive oxygen species', 'cytosol', 'apoptotic process', 'early endosome', 'Golgi apparatus', 'T cell receptor signaling pathway', 'peptidyl-serine phosphorylation', 'positive regulation of peptidyl-threonine phosphorylation', 'RNA polymerase II CTD heptapeptide repeat kinase activity', 'cellular response to DNA damage stimulus', 'regulation of stress-activated MAPK cascade', 'ERK1 and ERK2 cascade', 'regulation of protein stability', 'axon guidance', 'Fc-gamma receptor signaling pathway involved in phagocytosis', 'cellular response to amino acid starvation', 'cellular response to cadmium ion', 'regulation of cellular response to heat', 'ficolin-1-rich granule lumen', 'cellular response to dopamine', 'identical protein binding', 'face development', 'positive regulation of transcription, DNA-templated']",3,1,4,4,3
59,AMPH,"['leading edge membrane', 'synaptic vesicle membrane', 'phospholipid binding', 'chemical synaptic transmission', 'synaptic vesicle endocytosis', 'cytosol', 'protein binding', 'actin cytoskeleton', 'membrane organization', 'cell junction']",0,0,3,1,0
60,CACNG3,"['dendrite', 'voltage-gated calcium channel complex', 'protein targeting', 'PDZ domain binding', 'channel regulator activity', 'Schaffer collateral - CA1 synapse', 'integral component of postsynaptic density membrane', 'calcium ion transmembrane transport', 'glutamatergic synapse', 'cardiac conduction', 'ionotropic glutamate receptor binding', 'endocytic vesicle membrane', 'positive regulation of AMPA receptor activity', 'excitatory synapse', 'postsynaptic neurotransmitter receptor diffusion trapping', 'neurotransmitter receptor transport, postsynaptic endosome to lysosome', 'neurotransmitter receptor internalization', 'AMPA glutamate receptor complex', 'transmission of nerve impulse', 'positive regulation of synaptic transmission, glutamatergic', 'voltage-gated calcium channel activity']",2,1,0,1,0
61,FLOT1,"['dopaminergic synapse', 'extracellular matrix disassembly', 'response to endoplasmic reticulum stress', 'sarcolemma', 'dsRNA transport', 'regulation of Rho protein signal transduction', 'cellular response to exogenous dsRNA', 'lysosomal membrane', 'GABA-ergic synapse', 'flotillin complex', 'positive regulation of protein phosphorylation', 'focal adhesion', 'lamellipodium', 'positive regulation of skeletal muscle tissue development', 'plasma membrane raft assembly', 'uropod', 'centriolar satellite', 'positive regulation of myoblast fusion', 'positive regulation of synaptic transmission, dopaminergic', 'protein localization to membrane raft', 'protein stabilization', 'presynaptic active zone', 'positive regulation of protein binding', 'glutamatergic synapse', 'ionotropic glutamate receptor binding', 'cell-cell adherens junction', 'protein kinase C signaling', 'cell-cell contact zone', 'melanosome', 'early endosome', 'regulation of receptor internalization', 'positive regulation of NF-kappaB transcription factor activity', 'external side of plasma membrane', 'positive regulation of cell-cell adhesion mediated by cadherin', 'protease binding', 'regulation of neurotransmitter uptake', 'extracellular exosome', 'positive regulation of cell junction assembly', 'protein homooligomerization', 'basolateral plasma membrane', 'positive regulation of toll-like receptor 3 signaling pathway', 'positive regulation of heterotypic cell-cell adhesion', 'protein heterodimerization activity', 'positive regulation of interferon-beta production', 'protein localization to plasma membrane', 'positive regulation of cell adhesion molecule production', 'positive regulation of endocytosis', 'COP9 signalosome', 'cortical actin cytoskeleton', 'axonogenesis']",5,2,4,1,2
62,ANXA1,"['positive regulation of T cell proliferation', 'mast cell granule', 'nucleoplasm', 'G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger', 'sarcolemma', 'actin cytoskeleton reorganization', 'positive regulation of neutrophil apoptotic process', 'negative regulation of T-helper 2 cell differentiation', 'synaptic membrane', 'negative regulation of phospholipase A2 activity', 'regulation of interleukin-1 production', 'positive regulation of prostaglandin biosynthetic process', 'innate immune response', 'positive regulation of interleukin-2 production', 'single-stranded DNA binding', 'prolactin secretion', 'focal adhesion', 'cytoplasmic vesicle membrane', 'cellular response to vascular endothelial growth factor stimulus', 'actin filament', 'structural molecule activity', 'cellular response to glucocorticoid stimulus', 'hepatocyte differentiation', 'cytosol', 'DNA duplex unwinding', 'extrinsic component of endosome membrane', 'monocyte chemotaxis', 'calcium-dependent protein binding', 'calcium-dependent phospholipid binding', 'mitochondrial membrane', 'cell-cell adherens junction', 'response to interleukin-1', 'gliogenesis', 'neutrophil clearance', 'early endosome membrane', 'response to X-ray', 'single-stranded RNA binding', 'protein binding, bridging', 'phagocytic cup', 'peptide cross-linking', 'granulocyte chemotaxis', 'cornified envelope', 'protein homodimerization activity', 'double-stranded DNA-dependent ATPase activity', 'cellular response to hydrogen peroxide', 'apical plasma membrane', 'response to estradiol', 'signaling receptor binding', 'negative regulation of exocytosis', 'regulation of cell shape', 'phagocytosis', 'cytokine-mediated signaling pathway', 'positive regulation of T-helper 1 cell differentiation', 'regulation of hormone secretion', 'positive regulation of wound healing', 'calcium ion binding', 'keratinocyte differentiation', 'prostate gland development', 'cadherin binding involved in cell-cell adhesion', 'extracellular exosome', 'myoblast migration involved in skeletal muscle regeneration', 'arachidonic acid secretion', 'negative regulation of apoptotic process', 'response to peptide hormone', 'motile cilium', 'phospholipase A2 inhibitor activity', 'basolateral plasma membrane', 'protein-containing complex', 'collagen-containing extracellular matrix', 'positive regulation of G1/S transition of mitotic cell cycle', 'regulation of leukocyte migration', 'regulation of inflammatory response', 'positive regulation of cell migration involved in sprouting angiogenesis', 'extrinsic component of external side of plasma membrane', 'DNA/DNA annealing activity', 'negative regulation of interleukin-8 secretion', 'insulin secretion', 'positive regulation of vesicle fusion', 'endocrine pancreas development', 'lateral plasma membrane']",3,0,4,3,4
63,LRRC7,"['neurotransmitter receptor transport, endosome to postsynaptic membrane', 'extracellular region', 'neurotransmitter receptor transport postsynaptic membrane to endosome', 'basolateral plasma membrane', 'MAPK cascade', 'postsynaptic membrane', 'specific granule lumen', 'positive regulation of neuron projection development', 'cell-cell adhesion', 'axon initial segment', 'postsynaptic density', 'neutrophil degranulation', 'cytosol', 'receptor clustering', 'ionotropic glutamate receptor complex', 'ionotropic glutamate receptor binding', 'cell-cell adherens junction', 'establishment or maintenance of epithelial cell apical/basal polarity', 'regulation of NMDA receptor activity']",1,1,2,1,1
64,DLGAP2,"['neuron-neuron synaptic transmission', 'postsynaptic membrane', 'postsynaptic density', 'protein binding', 'neurofilament', 'cell junction']",0,0,1,1,0
65,GABRA1,"['nervous system process', 'cytoplasmic vesicle membrane', 'inhibitory extracellular ligand-gated ion channel activity', 'synaptic transmission, GABAergic', 'chloride channel complex', 'chloride transmembrane transport', 'transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential', 'GABA-gated chloride ion channel activity', 'dendrite membrane', 'GABA-A receptor activity', 'gamma-aminobutyric acid signaling pathway', 'integral component of postsynaptic specialization membrane', 'GABA-A receptor complex', 'GABA-ergic synapse', 'drug binding', 'benzodiazepine receptor activity', 'regulation of postsynaptic membrane potential', 'inhibitory synapse assembly', 'cell junction', 'cellular response to histamine']",2,1,2,2,0
66,ATP2B1,"['neuronal cell body membrane', 'integral component of presynaptic active zone membrane', 'PDZ domain binding', 'aging', 'membrane raft', 'regulation of presynaptic cytosolic calcium ion concentration', 'GABA-ergic synapse', 'immunological synapse', 'positive regulation of calcium ion transport', 'calcium ion transmembrane transport', 'regulation of vascular smooth muscle contraction', 'brain development', 'nucleus', 'negative regulation of cytokine production', 'negative regulation of cytosolic calcium ion concentration', 'calcium ion export across plasma membrane', 'calcium-transporting ATPase activity involved in regulation of presynaptic cytosolic calcium ion concentration', 'positive regulation of bone mineralization', 'cytoplasmic side of plasma membrane', 'regulation of cardiac conduction', 'glutamatergic synapse', 'cellular response to corticosterone stimulus', 'dendritic spine membrane', 'apical plasma membrane', 'ATP binding', 'regulation of blood pressure', 'extracellular exosome', 'regulation of cellular response to insulin stimulus', 'basolateral plasma membrane', 'metal ion binding', 'neural retina development', 'cellular response to vitamin D', 'calmodulin binding', 'ATP hydrolysis coupled cation transmembrane transport', 'response to cold']",2,2,0,1,1
67,SV2A,"['integral component of synaptic vesicle membrane', 'cell-cell junction', 'dendrite', 'endoplasmic reticulum', 'neuromuscular junction', 'plasma membrane', 'cellular calcium ion homeostasis', 'transmembrane transport', 'transmembrane transporter activity', 'synaptic vesicle priming', 'presynaptic active zone', 'regulation of gamma-aminobutyric acid secretion', 'neuronal cell body', 'glutamatergic synapse', 'GABA-ergic synapse', 'protein kinase binding']",1,1,1,1,0
68,SYNJ2,"['brain development', 'perinuclear region of cytoplasm', 'phosphatidylinositol dephosphorylation', 'presynapse', 'phosphatidylinositol biosynthetic process', 'plasma membrane', 'cytoskeleton', 'axon', 'cytosol', 'RNA binding', 'membrane raft', 'phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity', 'SH3 domain binding', 'inositol phosphate dephosphorylation', 'membrane organization']",1,0,2,2,1
69,GRIN2B,"['MAPK cascade', 'ephrin receptor signaling pathway', 'brain development', 'glycine binding', 'calcium-mediated signaling', 'positive regulation of cysteine-type endopeptidase activity', 'zinc ion binding', 'NMDA selective glutamate receptor complex', 'glutamate binding', 'postsynaptic density membrane', 'calcium ion transmembrane import into cytosol', 'positive regulation of neuron death', 'cytoplasm', 'cell surface', 'glutamate-gated calcium ion channel activity', 'protein heterotetramerization', 'negative regulation of dendritic spine maintenance', 'regulation of NMDA receptor activity', 'cell junction', 'neuron projection', 'excitatory postsynaptic potential', 'protein binding', 'NMDA glutamate receptor activity', 'amyloid-beta binding', 'response to ethanol', 'excitatory chemical synaptic transmission', 'learning or memory', 'ionotropic glutamate receptor signaling pathway', 'long-term synaptic potentiation']",3,0,1,1,1
70,GABBR2,"['negative regulation of adenylate cyclase activity', 'postsynaptic membrane', 'neuron projection', 'G protein-coupled receptor heterodimeric complex', 'protein heterodimerization activity', 'chemical synaptic transmission', 'G protein-coupled GABA receptor activity', 'gamma-aminobutyric acid signaling pathway', 'cytoplasm', 'GABA receptor complex', 'cell junction']",1,0,1,0,0
71,GIT1,"['focal adhesion', 'positive regulation of GTPase activity', 'metal ion binding', 'protein-containing complex binding', 'regulation of synaptic vesicle exocytosis', 'regulation of G protein-coupled receptor signaling pathway', 'calyx of Held', 'ephrin receptor signaling pathway', 'cytosol', 'protein binding', 'membrane', 'regulation of cytokinesis', 'GTPase activator activity', 'presynaptic modulation of chemical synaptic transmission']",1,0,1,1,0
72,CTNNB1,"['positive regulation of histone H3-K4 methylation', 'cellular response to indole-3-methanol', 'oviduct development', 'regulation of smooth muscle cell proliferation', 'branching involved in blood vessel morphogenesis', 'canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation', 'positive regulation of heparan sulfate proteoglycan biosynthetic process', 'cell fate specification', 'synaptic vesicle clustering', 'sympathetic ganglion development', 'protein phosphatase binding', 'lamellipodium', 'positive regulation of muscle cell differentiation', 'catenin complex', 'apical part of cell', 'regulation of centromeric sister chromatid cohesion', 'negative regulation of apoptotic signaling pathway', 'synapse organization', 'hair follicle morphogenesis', 'regulation of protein localization to cell surface', 'cranial skeletal system development', 'positive regulation of endothelial cell differentiation', 'positive regulation of neuroblast proliferation', 'regulation of timing of anagen', 'negative regulation of mitotic cell cycle, embryonic', 'embryonic forelimb morphogenesis', 'negative regulation of angiogenesis', 'chemical synaptic transmission', 'ion channel binding', 'response to estradiol', 'negative regulation of protein sumoylation', 'centrosome', 'regulation of centriole-centriole cohesion', 'renal outer medulla development', 'embryonic heart tube development', 'positive regulation of chromatin-mediated maintenance of transcription', 'canonical Wnt signaling pathway involved in negative regulation of apoptotic process', 'beta-catenin destruction complex', 'renal inner medulla development', 'anterior/posterior axis specification', 'lens morphogenesis in camera-type eye', 'lateral plasma membrane', 'beta-catenin-TCF complex assembly', 'I-SMAD binding', 'estrogen receptor binding', 'layer formation in cerebral cortex', 'negative regulation of oligodendrocyte differentiation', 'positive regulation of epithelial cell proliferation involved in prostate gland development', 'canonical Wnt signaling pathway involved in positive regulation of cardiac outflow tract cell proliferation', 'positive regulation of mesenchymal cell proliferation', 'bone resorption', 'positive regulation of telomere maintenance via telomerase', 'perinuclear region of cytoplasm', 'focal adhesion', 'genitalia morphogenesis', 'positive regulation of skeletal muscle tissue development', 'hindbrain development', 'postsynaptic density, intracellular component', 'endodermal cell fate commitment', 'in utero embryonic development', 'regulation of myelination', 'adherens junction assembly', 'positive regulation of type I interferon production', 'presynaptic membrane', 'repressing transcription factor binding', 'positive regulation of osteoblast differentiation', 'presynaptic active zone cytoplasmic component', 'cell-cell adhesion', 'negative regulation of osteoclast differentiation', 'embryonic axis specification', 'proximal/distal pattern formation', 'ectoderm development', 'protein kinase binding', 'glial cell fate determination', 'dorsal/ventral axis specification', 'extracellular exosome', 'chromatin binding', 'basolateral plasma membrane', 'protein polyubiquitination', 'positive regulation of I-kappaB kinase/NF-kappaB signaling', 'fascia adherens', 'protein heterodimerization activity', 'hair follicle placode formation', 'embryonic skeletal limb joint morphogenesis', 'androgen receptor signaling pathway', 'fungiform papilla formation', 'nucleoplasm', 'postsynaptic membrane', 'positive regulation of neuron apoptotic process', 'androgen receptor binding', 'negative regulation of transcription by RNA polymerase II', 'odontogenesis of dentin-containing tooth', 'cadherin binding', 'thymus development', 'negative regulation of oxidative stress-induced neuron death', 'synaptic vesicle transport', 'disordered domain specific binding', 'regulation of secondary heart field cardioblast proliferation', 'embryonic foregut morphogenesis', 'positive regulation of telomerase activity', 'smooth muscle cell differentiation', 'neural plate development', 'entry of bacterium into host cell', 'lung induction', 'transcription coactivator activity', 'trachea formation', 'epithelial cell differentiation involved in prostate gland development', 'cell maturation', 'Wnt signalosome', 'cell morphogenesis involved in differentiation', 'embryonic brain development', 'RNA polymerase II activating transcription factor binding', 'embryonic hindlimb morphogenesis', 'regulation of euchromatin binding', 'positive regulation of determination of dorsal identity', 'microvillus membrane', 'negative regulation of chondrocyte differentiation', 'negative regulation of cell population proliferation', 'central nervous system vasculogenesis', 'mesenchymal cell proliferation involved in lung development', 'RNA polymerase II transcription factor binding', 'lung cell differentiation', 'protein-DNA complex', 'positive regulation of MAPK cascade', 'alpha-catenin binding', 'nephron tubule formation', 'regulation of nephron tubule epithelial cell differentiation', 'Scrib-APC-beta-catenin complex', 'Wnt signaling pathway, calcium modulating pathway', 'neuron migration', 'positive regulation of transcription by RNA polymerase II', 'viral process', 'Schaffer collateral - CA1 synapse', 'branching involved in ureteric bud morphogenesis', 'DNA-binding transcription factor activity', 'positive regulation of DNA-templated transcription, initiation', 'regulation of fibroblast proliferation', 'flotillin complex', 'regulation of canonical Wnt signaling pathway', 'gastrulation with mouth forming second', 'positive regulation of DNA-binding transcription factor activity', 'renal vesicle formation', 'positive regulation of fibroblast growth factor receptor signaling pathway', 'lung-associated mesenchyme development', 'beta-catenin-TCF7L2 complex', 'dorsal root ganglion development', 'cytosol', 'protein C-terminus binding', 'T cell differentiation in thymus', 'positive regulation of core promoter binding', 'beta-catenin destruction complex disassembly', 'male genitalia development', 'Z disc', 'regulation of calcium ion import', 'pancreas development', 'canonical Wnt signaling pathway involved in positive regulation of epithelial to mesenchymal transition', 'nuclear euchromatin', 'stem cell population maintenance', 'negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis', 'endothelial tube morphogenesis', 'embryonic digit morphogenesis', 'cranial ganglion development', 'oocyte development', 'hair cell differentiation', 'cell-matrix adhesion', 'neuron projection extension', 'proteasome-mediated ubiquitin-dependent protein catabolic process', 'bicellular tight junction', 'regulation of T cell proliferation', 'spindle pole']",3,2,4,4,3
73,ATP6V0D1,"['synaptic vesicle', 'ATP hydrolysis coupled proton transport', 'plasma membrane proton-transporting V-type ATPase complex', 'vacuolar acidification', 'proton-transporting ATPase activity, rotational mechanism', 'lysosomal membrane', 'cilium assembly', 'phagosome acidification', 'vacuolar transport', 'brain development', 'cellular iron ion homeostasis', 'regulation of macroautophagy', 'proton-transporting V-type ATPase, V0 domain', 'endosome membrane', 'cellular response to increased oxygen levels', 'early endosome', 'insulin receptor signaling pathway', 'vacuolar proton-transporting V-type ATPase complex', 'axon terminus', 'apical plasma membrane', 'protein binding', 'centrosome', 'extracellular exosome', 'transferrin transport', 'protein-containing complex binding', 'IRE1-mediated unfolded protein response', 'proton-exporting ATPase activity, phosphorylative mechanism', 'phagocytic vesicle membrane']",2,2,1,1,1
74,STX1A,"['extracellular region', 'regulation of synaptic vesicle priming', 'SNARE complex assembly', 'positive regulation of norepinephrine secretion', 'ATP-dependent protein binding', 'integral component of presynaptic membrane', 'nuclear membrane', 'intracellular protein transport', 'actomyosin', 'positive regulation of calcium ion-dependent exocytosis', 'synaptic vesicle docking', 'synaptic vesicle fusion to presynaptic active zone membrane', 'positive regulation of excitatory postsynaptic potential', 'presynaptic active zone membrane', 'voltage-gated potassium channel complex', 'protein localization to membrane', 'cytosol', 'calcium-dependent protein binding', 'glutamatergic synapse', 'chloride channel inhibitor activity', 'cell junction', 'protein binding, bridging', 'synaptobrevin 2-SNAP-25-syntaxin-1a complex', 'ion channel binding', 'postsynaptic density', 'axon', 'SNARE binding', 'calcium channel inhibitor activity', 'regulation of insulin secretion', 'synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex', 'cytokine-mediated signaling pathway', 'SNAP receptor activity', 'myosin head/neck binding', 'kinase binding', 'integral component of synaptic vesicle membrane', 'synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex', 'positive regulation of neurotransmitter secretion', 'protein heterodimerization activity', 'glutamate secretion', 'secretory granule', 'protein N-terminus binding', 'protein domain specific binding', 'response to gravity']",4,2,2,1,0
75,GABRA4,"['nervous system process', 'inhibitory extracellular ligand-gated ion channel activity', 'synaptic transmission, GABAergic', 'chloride channel complex', 'transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential', 'GABA-gated chloride ion channel activity', 'dendrite membrane', 'regulation of response to drug', 'GABA-A receptor activity', 'gamma-aminobutyric acid signaling pathway', 'integral component of postsynaptic specialization membrane', 'GABA-A receptor complex', 'central nervous system development', 'GABA-ergic synapse', 'benzodiazepine receptor activity', 'regulation of postsynaptic membrane potential', 'cell junction', 'chloride transmembrane transport']",2,1,1,1,1
76,TLN2,"['focal adhesion', 'synapse', 'plasma membrane', 'ruffle', 'structural constituent of cytoskeleton', 'cell adhesion', 'cell-cell junction assembly', 'actin cytoskeleton', 'cytoplasm', 'actin filament binding', 'cytoskeletal anchoring at plasma membrane']",0,0,4,1,0
77,GRM3,"['negative regulation of adenylate cyclase activity', 'integral component of postsynaptic membrane', 'group II metabotropic glutamate receptor activity', 'postsynaptic density', 'calcium channel regulator activity', 'axon', 'glutamatergic synapse', 'regulation of synaptic transmission, glutamatergic', 'dendritic spine', 'integral component of presynaptic membrane', 'adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway']",2,0,0,0,0
78,BCAN,"['extracellular matrix organization', 'extracellular matrix', 'carbohydrate binding', 'chondroitin sulfate catabolic process', 'dermatan sulfate biosynthetic process', 'hippocampus development', 'chondroitin sulfate biosynthetic process', 'cell adhesion', 'hyaluronic acid binding', 'Golgi lumen', 'lysosomal lumen', 'synapse maturation', 'anchored component of membrane', 'glutamatergic synapse', 'skeletal system development']",0,0,2,3,1
79,ERC1,"['negative regulation of apoptotic process', 'I-kappaB phosphorylation', 'presynaptic membrane', 'PDZ domain binding', 'positive regulation of NF-kappaB transcription factor activity', 'Golgi membrane', 'multicellular organism development', 'Rab GTPase binding', 'retrograde transport, endosome to Golgi', 'leucine zipper domain binding', 'IkappaB kinase complex', 'cadherin binding', 'protein transport']",1,1,1,2,1
80,DLG2,"['MAPK cascade', 'neurotransmitter receptor localization to postsynaptic specialization membrane', 'axon cytoplasm', 'cellular response to potassium ion', 'GDP metabolic process', 'GMP metabolic process', 'ionotropic glutamate receptor complex', 'juxtaparanode region of axon', 'neuromuscular junction', 'anterograde axonal protein transport', 'sensory perception of pain', 'voltage-gated potassium channel complex', 'postsynaptic density membrane', 'cytosol', 'glutamatergic synapse', 'ionotropic glutamate receptor binding', 'maintenance of postsynaptic density structure', 'structural constituent of postsynaptic density', 'regulation of NMDA receptor activity', 'cell junction', 'negative regulation of phosphatase activity', 'cell-cell adhesion', 'chemical synaptic transmission', 'establishment or maintenance of epithelial cell apical/basal polarity', 'kinase binding', 'retrograde axonal protein transport', 'basolateral plasma membrane', 'receptor clustering', 'guanylate kinase activity']",2,2,2,3,0
